Serial Number,Title,Page Link,PDF Link,Download Status
75,Rustin,https://www.scriptslug.com/script/rustin-2023,https://assets.scriptslug.com/live/pdf/scripts/rustin-2023.pdf?v=1729114983,True
76,Cassandro,https://www.scriptslug.com/script/cassandro-2023,https://assets.scriptslug.com/live/pdf/scripts/cassandro-2023.pdf?v=1729114883,True
77,BlackBerry,https://www.scriptslug.com/script/blackberry-2023,https://assets.scriptslug.com/live/pdf/scripts/blackberry-2023.pdf?v=1729114873,True
78,MoonlightingTwas the Episode Before Christmas,https://www.scriptslug.com/script/moonlighting-210-twas-the-episode-before-christmas-1985,https://assets.scriptslug.com/live/pdf/scripts/moonlighting-210-twas-the-episode-before-christmas-1985.pdf?v=1729114956,True
79,The Holdovers,https://www.scriptslug.com/script/the-holdovers-2023,https://assets.scriptslug.com/live/pdf/scripts/the-holdovers-2023.pdf?v=1729115022,True
80,Fred Claus,https://www.scriptslug.com/script/fred-claus-2007,https://assets.scriptslug.com/live/pdf/scripts/fred-claus-2007.pdf?v=1729114911,True
81,Freud's Last Session,https://www.scriptslug.com/script/freuds-last-session-2023,https://assets.scriptslug.com/live/pdf/scripts/freuds-last-session-2023.pdf?v=1729114911,True
82,The Teachers' Lounge,https://www.scriptslug.com/script/the-teachers-lounge-2023,https://assets.scriptslug.com/live/pdf/scripts/the-teachers-lounge-2023.pdf?v=1729115040,True
83,The Persian Version,https://www.scriptslug.com/script/the-persian-version-2023,https://assets.scriptslug.com/live/pdf/scripts/the-persian-version-2023.pdf?v=1729115034,True
84,Spider-ManAcross the Spider-Verse,https://www.scriptslug.com/script/spider-man-across-the-spider-verse-2023,https://assets.scriptslug.com/live/pdf/scripts/spider-man-across-the-spider-verse-2023.pdf?v=1729114995,True
85,Air,https://www.scriptslug.com/script/air-2023,https://assets.scriptslug.com/live/pdf/scripts/air-2023.pdf?v=1729114855,True
86,Barbie,https://www.scriptslug.com/script/barbie-2023,https://assets.scriptslug.com/live/pdf/scripts/barbie-2023.pdf?v=1729114866,True
87,Flora and Son,https://www.scriptslug.com/script/flora-and-son-2023,https://assets.scriptslug.com/live/pdf/scripts/flora-and-son-2023.pdf?v=1729114909,True
88,Foe,https://www.scriptslug.com/script/foe-2023,https://assets.scriptslug.com/live/pdf/scripts/foe-2023.pdf?v=1729114909,True
89,Shayda,https://www.scriptslug.com/script/shayda-2023,https://assets.scriptslug.com/live/pdf/scripts/shayda-2023.pdf?v=1729114988,True
90,Elemental,https://www.scriptslug.com/script/elemental-2023,https://assets.scriptslug.com/live/pdf/scripts/elemental-2023.pdf?v=1729114901,True
91,Fair Play,https://www.scriptslug.com/script/fair-play-2023,https://assets.scriptslug.com/live/pdf/scripts/fair-play-2023.pdf?v=1729114905,True
92,The Miracle Club,https://www.scriptslug.com/script/the-miracle-club-2023,https://assets.scriptslug.com/live/pdf/scripts/the-miracle-club-2023.pdf?v=1729115031,True
93,Bottoms,https://www.scriptslug.com/script/bottoms-2023,https://assets.scriptslug.com/live/pdf/scripts/bottoms-2023.pdf?v=1729114876,True
94,The Burial,https://www.scriptslug.com/script/the-burial-2023,https://assets.scriptslug.com/live/pdf/scripts/the-burial-2023.pdf?v=1729115011,True
95,Saltburn,https://www.scriptslug.com/script/saltburn-2023,https://assets.scriptslug.com/live/pdf/scripts/saltburn-2023.pdf?v=1729114984,True
96,Dumb Money,https://www.scriptslug.com/script/dumb-money-2023,https://assets.scriptslug.com/live/pdf/scripts/dumb-money-2023.pdf?v=1729114900,True
97,Shortcomings,https://www.scriptslug.com/script/shortcomings-2023,https://assets.scriptslug.com/live/pdf/scripts/shortcomings-2023.pdf?v=1729114989,True
98,Killers of the Flower Moon,https://www.scriptslug.com/script/killers-of-the-flower-moon-2023,https://assets.scriptslug.com/live/pdf/scripts/killers-of-the-flower-moon-2023.pdf?v=1729114936,True
99,Creed III,https://www.scriptslug.com/script/creed-iii-2023,https://assets.scriptslug.com/live/pdf/scripts/creed-iii-2023.pdf?v=1729114891,True
100,Jules,https://www.scriptslug.com/script/jules-2023,https://assets.scriptslug.com/live/pdf/scripts/jules-2023.pdf?v=1729114934,True
101,Carlito's Way,https://www.scriptslug.com/script/carlitos-way-1993,https://assets.scriptslug.com/live/pdf/scripts/carlitos-way-1993.pdf?v=1729114882,True
102,Whitney HoustonI Wanna Dance with Somebody,https://www.scriptslug.com/script/whitney-houston-i-wanna-dance-with-somebody-2022,https://assets.scriptslug.com/live/pdf/scripts/whitney-houston-i-wanna-dance-with-somebody-2022.pdf?v=1729115061,True
103,Red Heat,https://www.scriptslug.com/script/red-heat-1988,https://assets.scriptslug.com/live/pdf/scripts/red-heat-1988.pdf?v=1729114978,True
104,The SimpsonsBart vs. Thanksgiving,https://www.scriptslug.com/script/the-simpsons-207-bart-vs-thanksgiving-1990,https://assets.scriptslug.com/live/pdf/scripts/the-simpsons-207-bart-vs-thanksgiving-1990.pdf?v=1729115038,True
105,A Haunting in Venice,https://www.scriptslug.com/script/a-haunting-in-venice-2023,https://assets.scriptslug.com/live/pdf/scripts/a-haunting-in-venice-2023.pdf?v=1729114851,True
106,Anger Management,https://www.scriptslug.com/script/anger-management-2003,https://assets.scriptslug.com/live/pdf/scripts/anger-management-2003.pdf?v=1729114860,True
107,Prophetess,https://www.scriptslug.com/script/prophetess-2021,https://assets.scriptslug.com/live/pdf/scripts/prophetess-2021.pdf?v=1729114975,True
108,A Time to Kill,https://www.scriptslug.com/script/a-time-to-kill-1996,https://assets.scriptslug.com/live/pdf/scripts/a-time-to-kill-1996.pdf?v=1729114853,True
109,To Catch A Killer,https://www.scriptslug.com/script/to-catch-a-killer-2023,https://assets.scriptslug.com/live/pdf/scripts/to-catch-a-killer-2023.pdf?v=1729115050,True
110,Geostorm,https://www.scriptslug.com/script/geostorm-2017,https://assets.scriptslug.com/live/pdf/scripts/geostorm-2017.pdf?v=1729114915,True
111,The Cotton Club,https://www.scriptslug.com/script/the-cotton-club-1984,https://assets.scriptslug.com/live/pdf/scripts/the-cotton-club-1984.pdf?v=1729115012,True
112,Identity,https://www.scriptslug.com/script/identity-2003,https://assets.scriptslug.com/live/pdf/scripts/identity-2003.pdf?v=1729114928,True
113,12 Strong,https://www.scriptslug.com/script/12-strong-2018,https://assets.scriptslug.com/live/pdf/scripts/12-strong-2018.pdf?v=1729114847,True
114,Chariots of Fire,https://www.scriptslug.com/script/chariots-of-fire-1981,https://assets.scriptslug.com/live/pdf/scripts/chariots-of-fire-1981.pdf?v=1729114884,True
